atributo_1,atributo_2,atributo_3,atributo_4,atributo_5,atributo_6,classe
0.984548271624722,40.2740785745932,2000,0.982118908345554,44.0366463442455,8906.5081889357,4
0.931770093039991,31.0440515482067,2000,0.717157879258569,39.6504801872711,9767.27865812236,4
0.469981154850487,12.107921552664,1067.93740191276,0.55781543633007,38.5097407455352,5391.28905895097,2
0.361123773169584,7.13084754293545,711.088338337426,0.832683096780828,40.7690971650983,3331.06789979775,3
0.643891332281388,17.3491219056434,1521.1491321004,0.791854000783543,40.791859947939,6588.11130201683,1
0,-5,2000,1,48,10000,2
0.945780167227597,41.3085654624111,2000,0.958956443916614,42.7039704258457,10000,4
0.375695045127765,7.72961902086715,935.705366269833,0.457798578145092,36.8440047189355,4102.20125172627,2
0.928976449962815,34.3292135202558,2000,0.741510986766671,39.5944484286318,8656.98735549922,4
0.7977752018277,26.5755485768708,1963.483337558,0.767011702026094,39.0991325215555,8526.73031955765,1
0.181838386334508,13.7968170516679,1214.51381373349,0.32752047959671,37.4052462101285,6173.59420627649,1
0.685958323917695,23.8396800820168,1664.12229755804,0.750318052865276,44.3447516370927,8070.86463608463,1
0.0453776866507954,-5,200,0.0260106090630047,33.2848476583275,299.897586968505,1
0.978873349685977,45.8691534726062,2000,0.908666339694803,40.9349959762019,10000,4
0.958167345660627,35.8598189406059,2000,0.937497498361767,39.6183624033009,9502.47315669138,4
0.840001121936357,31.2123497072993,2000,0.907949765532774,39.0811796126222,9343.90604856211,3
0.963812497298864,30.0843408947632,1979.38196470092,0.913768103471849,41.4571040899044,9100.75795387907,4
0.901542978866115,34.5550761014285,1864.52886216974,0.907671423722497,42.7296674431097,7223.42233552608,3
0.982230236122893,47.239211035464,2000,0.981256664115334,43.2455054420129,10000,4
0.453966381084707,23.5868004870534,1646.9874889013,0.846223651547707,42.6495611598257,7793.84019035801,3
0.932822699934509,32.2730548971662,1894.12208795743,0.939690059596105,44.3028577871934,7514.57860713806,4
0.846743563126455,16.9851765633867,1466.9173509459,0.880047229953021,43.8526685924547,7135.67008466282,3
